data_name, n_samples, scenario, cf_label, trial, fold1 , fold2 , fold3 , fold4 , fold5 , avg_ate , tp_model_name, tp_loss_name, tp_n_epochs, tp_batch_size, tp_patience, tp_scheduler_patience, tp_scheduler_factor, tp_n_splits, tp_network_depth, tp_network_width, tp_use_u_statistic, tp_kernel_gamma, tp_learning_rate     , tp_l2_penalty
sgd      ,      5000,        1, sgd_cf  ,    12, 2.5604, 1.7482, 1.8968, 1.7848, 2.4396, 2.085985, nmmr_q       , U_statistic ,         150,           500,          25,                     5,                 0.5,           5,                4,               50, True              ,             0.6, 0.0019336369861347438, 2.8234823022849886e-06
sgd      ,      5000,        1, sgd_cf  ,    13, 1.9861, 3.0662, 1.8742, 2.6826, 2.6009, 2.442012, nmmr_q       , U_statistic ,         150,           500,          25,                     5,                 0.5,           5,                4,               50, True              ,             0.6, 0.0019336369861347438, 2.8234823022849886e-06
sgd      ,      5000,        1, sgd_cf  ,    14, 2.6509, 2.994 , 2.4913, 1.5965, 1.466 , 2.23974 , nmmr_q       , U_statistic ,         150,           500,          25,                     5,                 0.5,           5,                4,               50, True              ,             0.6, 0.0019336369861347438, 2.8234823022849886e-06
sgd      ,      5000,        1, sgd_cf  ,    15, 1.9149, 1.6257, 3.3372, 1.3621, 1.9778, 2.043544, nmmr_q       , U_statistic ,         150,           500,          25,                     5,                 0.5,           5,                4,               50, True              ,             0.6, 0.0019336369861347438, 2.8234823022849886e-06
sgd      ,      5000,        1, sgd_cf  ,    16, 1.8365, 1.3059, 2.457 , 1.8052, 3.3282, 2.14656 , nmmr_q       , U_statistic ,         150,           500,          25,                     5,                 0.5,           5,                4,               50, True              ,             0.6, 0.0019336369861347438, 2.8234823022849886e-06
sgd      ,      5000,        1, sgd_cf  ,    17, 2.0749, 2.5975, 1.0766, 2.0957, 2.1549, 1.999918, nmmr_q       , U_statistic ,         150,           500,          25,                     5,                 0.5,           5,                4,               50, True              ,             0.6, 0.0019336369861347438, 2.8234823022849886e-06
sgd      ,      5000,        1, sgd_cf  ,    18, 2.0649, 2.0542, 1.3612, 2.5956, 2.0794, 2.031054, nmmr_q       , U_statistic ,         150,           500,          25,                     5,                 0.5,           5,                4,               50, True              ,             0.6, 0.0019336369861347438, 2.8234823022849886e-06
sgd      ,      5000,        1, sgd_cf  ,    19, 0.8351, 2.6999, 2.0852, 1.7104, 2.4548, 1.957052, nmmr_q       , U_statistic ,         150,           500,          25,                     5,                 0.5,           5,                4,               50, True              ,             0.6, 0.0019336369861347438, 2.8234823022849886e-06
sgd      ,      5000,        1, sgd_cf  ,    20, 1.8426, 1.997 , 3.1891, 1.1251, 2.1469, 2.060136, nmmr_q       , U_statistic ,         150,           500,          25,                     5,                 0.5,           5,                4,               50, True              ,             0.6, 0.0019336369861347438, 2.8234823022849886e-06
sgd      ,      5000,        1, sgd_cf  ,     1, 1.9981, 2.5876, 2.5111, 2.5802, 1.736 , 2.282576, nmmr_q       , V_statistic ,         150,           500,          25,                     5,                 0.5,           5,                4,               55, False             ,             0.6, 0.008923848921281572 , 2.137138722022136e-06
