POR_s1            , PIPW_s1           , PDR_s1            , POR_s2            , PIPW_s2           , PDR_s2            , POR_s3            , PIPW_s3           , PDR_s3            , POR_s4            , PIPW_s4           , PDR_s4
2.0259482269807316, 2.0313916932696947, 2.031391693269695 , 2.009941276102495 , 2.0083256883174183, 2.0083256883174174, 2.029998447306717 , 2.026597356003598 , 2.026597356003595 , 2.169881896392873 , 2.172277983223015 , 2.1722779832230135
1.9981119326351684, 1.997928393020224 , 1.997928393020224 , 2.0856737154456226, 2.0972984055074444, 2.097298405507444 , 1.9980610136200478, 1.9966601758397635, 1.9966601758397686, 2.231463594181271 , 2.233989025018775 , 2.233989025018779
2.0084293272777236, 2.006218376331085 , 2.006218376331085 , 2.126148950494681 , 2.1304006195655036, 2.1304006195655028, 1.9997192992798685, 1.9995339060536421, 1.999533906053646 , 2.263253690460573 , 2.259642674595135 , 2.2596426745951343
2.0206836499388103, 2.015479109210622 , 2.015479109210622 , 2.116025862420102 , 2.107641315071331 , 2.1076413150713305, 2.011068956875473 , 2.00193166902287  , 2.001931669022872 , 2.2585429295635038, 2.247991376370757 , 2.2479913763707553
1.9618169005464654, 1.959201315449804 , 1.959201315449804 , 1.9917657844522978, 1.975357649941372 , 1.975357649941372 , 1.9602130870824084, 1.9306840328077248, 1.9306840328077175, 2.1912085838381685, 2.1935116577122113, 2.1935116577122087
2.0189308894237996, 2.0183521819087047, 2.0183521819087047, 2.217258160349573 , 2.2202545151709483, 2.220254515170949 , 2.002353243459723 , 1.9971831331655236, 1.9971831331655292, 2.3313924933744445, 2.3344695933879485, 2.334469593387947
2.00140282642679  , 2.002095440224845 , 2.0020954402248443, 2.1909444462888388, 2.194255167403896 , 2.1942551674038953, 1.989554786219597 , 1.999907299251172 , 1.9999072992511673, 2.3131351721349347, 2.302594480584021 , 2.3025944805840215
2.001077143600728 , 2.005728339966188 , 2.005728339966188 , 1.850198360513346 , 1.8907970909829965, 1.8907970909829956, 1.9986906049010769, 2.004363757874716 , 2.0043637578747213, 2.0669395020747032, 2.0668374631860353, 2.066837463186029
1.9654063703100775, 1.9659210024692886, 1.9659210024692886, 2.0003060890092144, 2.009053288076004 , 2.0090532880760033, 1.9385159208372396, 1.9354457054680598, 1.9354457054680563, 2.1075021058192647, 2.1051369999914007, 2.105136999991396
2.010728133856283 , 2.0115032926354375, 2.0115032926354384, 1.8403743721699328, 1.8332465403148468, 1.8332465403148464, 2.0007634601999467, 2.001328507288262 , 2.001328507288263 , 2.1030523634799394, 2.0916587114321823, 2.091658711432178
2.0304791953097405, 2.0255775349096083, 2.0255775349096083, 1.9065012337322715, 1.8718335696758028, 1.8718335696758026, 2.0300712705471726, 2.0331016687476673, 2.0331016687476686, 2.073091905853566 , 2.0653161904798796, 2.065316190479879
2.0364479793009567, 2.0386939317273987, 2.0386939317273987, 2.014171417048658 , 2.0317765077426655, 2.031776507742665 , 2.043123554794171 , 2.0442660917001008, 2.044266091700094 , 2.1672320974211416, 2.1726698572761918, 2.1726698572761967
1.9751918592899078, 1.9747374440826533, 1.974737444082653 , 2.070055798877263 , 2.0805545398063856, 2.080554539806385 , 1.9550036503199626, 1.9555573410388034, 1.9555573410388027, 2.253420015496296 , 2.265328899066977 , 2.2653288990669798
